002505.SZ,20180725,1.89,0.6034,1.3807,1.23,436.0398,,1.8792,0.8376,0.926,548537.22,548461.98,239691.8232,1036735.3458,1036593.1422,002505
002505.SZ,20180724,1.88,0.7626,1.7449,1.91,433.7327,,1.8693,0.8331,0.9211,548537.22,548461.98,239691.8232,1031249.9736,1031108.5224,002505
002505.SZ,20180723,1.83,0.5313,1.2157,1.56,422.1973,,1.8196,0.811,0.8966,548537.22,548461.98,239691.8232,1003823.1126,1003685.4234,002505
002505.SZ,20180720,1.83,0.6424,1.4368,2.38,422.1973,,1.8196,0.811,0.8966,548537.22,548461.98,245200.89,1003823.1126,1003685.4234,002505
002505.SZ,20180719,1.82,0.208,0.4654,0.62,419.8902,,1.8096,0.8065,0.8917,548537.22,548461.98,245200.89,998337.7404,998200.8036,002505
002505.SZ,20180718,1.84,0.3166,0.7081,0.88,424.5044,,1.8295,0.8154,0.9015,548537.22,548461.98,245200.89,1009308.4848,1009170.0432,002505
002505.SZ,20180717,1.84,0.2956,0.6613,0.8,424.5044,,1.8295,0.8154,0.9015,548537.22,548461.98,245200.89,1009308.4848,1009170.0432,002505
002505.SZ,20180716,1.85,0.2398,0.5364,0.51,426.8115,,1.8395,0.8198,0.9064,548537.22,548461.98,245200.89,1014793.857,1014654.663,002505
002505.SZ,20180713,1.85,0.2895,0.6474,0.36,426.8115,,1.8395,0.8198,0.9064,548537.22,548461.98,245200.89,1014793.857,1014654.663,002505
002505.SZ,20180712,1.85,0.5473,1.2243,0.66,426.8115,,1.8395,0.8198,0.9064,548537.22,548461.98,245200.89,1014793.857,1014654.663,002505
002505.SZ,20180711,1.84,0.4183,0.9357,0.54,424.5044,,1.8295,0.8154,0.9015,548537.22,548461.98,245200.89,1009308.4848,1009170.0432,002505
002505.SZ,20180710,1.87,0.361,0.8076,0.49,431.4256,,1.8593,0.8287,0.9162,548537.22,548461.98,245200.89,1025764.6014,1025623.9026,002505
002505.SZ,20180709,1.91,0.7124,1.5935,1.09,440.654,,1.8991,0.8464,0.9358,548537.22,548461.98,245200.89,1047706.0902,1047562.3818,002505
002505.SZ,20180706,1.9,1.9374,4.3335,6.44,438.3469,,1.8892,0.842,0.9309,548537.22,548461.98,245200.89,1042220.718,1042077.762,002505
